title,description,reviews,ratings
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Good to go..Liked product and it's working well.Cooling is good.Buy local product more and support vocal for local more.Good job TATA. we are proud of you 😊READ MORE,4
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,It's was a awesome purchase.I must say this cool the room immediately and just go for it. Don't think much it's awesome product.READ MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"Hi Team, FYI installation not properly done. The person hole in the wall but didn't close the hole. And it was unsatisfied. We are doing some extra work. Still now no issues and in future, we don't know what happens. So please instruct and advance to all installation or serviceman do properly and work completely.  Thank you.READ MORE",3
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"Colling is good and design also cool but insatallation took extra money because of extra wire, stand and plug that all took around 1300/- otherwise everything is fine installation guy was good and humble.READ MORE",5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Verry good ac and faster delivery installation process is very fast good service provide by voltas and flipkartREAD MORE,4
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Really not happy Cooling is worst. it take 1 hr to coolRemote is also not working properly.Before purchasing I was happy to see such positive comments but after purchasing I feel like online products are worst toh have😭READ MORE,1
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,The product is amazing and a full value for money. Features is top class. Cooling is top notch.READ MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,READ MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Very nice product but remote could be more improved Thank youREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,At the time of sale flipkart intentionally did not inform the customer that they will not provide copper pipes for installation. The installation engineer then charge huge amount for copper pipes which could have been avoided if flipkart would have provided the copper pipes. Buy from CROMA they provide copper pipes also with ac in same price with free installation. Flipkart is making customers fool and is the worst site.🤬😡🤬🥵🤬🤬😡😡READ MORE,1
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"The item delivered with gas leakage in the back unit. Return request was raised, but it was rejected after the SLA period. They didnt even call me to understand what the issue isREAD MORE",1
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Product is good but bad installation service.READ MORE,1
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Value for moneyREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Awesome cooling my hall size is 220qf this ac child my hall in 10 min.Proud of buying TATA productREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Not started working .. installation boy very bad behaviour..not properly working not properly installed.. outdoor not working..READ MORE,1
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Very nice product!READ MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,I love this productREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Installation took 7k. Moreover I can't register the product in my voltas self care portal. There is some problem with the serial number. They are not detecting it.READ MORE,3
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,AC design is just okay. No Horizontal swing. Installation guys are pathetic. AC is leaking water like a tap. Now I have to followup with Voltas to fix it againREAD MORE,3
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Best qualityREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,In a single words it's superbREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,My first ACREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Product is greatDelivery person was goodBut installation person was trying to earn unethical money. He was over charging for electric cable @ Rs150 per MTR and water pipe.READ MORE,1
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Just boght for ratan tata sir the real indian brandREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,The product is latest model and manufacturing. Installation was in time and done expertly. Cooling is super and the outdoor unit also silent.charges were taken according to the company rules.READ MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Best ac❤❤READ MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Worst product...outdoor unit not working after one day of installation.. 😠😠😠😠READ MORE,1
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Flipkart delivery was on time with zero defect.Thanks Flipkart . Installation done within promised time.Cooling is good.Will update about energy savings soon...READ MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Very nice 👌 I am happy 😊READ MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Nice productsREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Most trusted brand of india... Value for moneyREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Super 💖READ MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,I am  facing the cooing  issue since first day I have raised the issue so many times but the problem is not resolved yet pathetic service from the seller I strongly suggest do not buy this product.READ MORE,1
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Amazing coolingREAD MORE,4
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Product as good as described. Super cooling ac from india's TATA voltas. It coola within minutes.READ MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"After using AC for around a month:1. The light blinks after every few minutes which is irrelevant some time.2. Without remote AC cannot be used,3. Cooling takes lot of time, 1.5 ton AC for 12x12 room takes around an hour and still it is not even crossed 404. The swing has to be locked after every switch on. It does not remember5. The noise of fan is too much for night, even on low speed6. The compressor keep on switching ON and OFF after every 10 minutesREAD MORE",3
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Excellent coolingREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,AC is very Awesome but Installation is very very very Poor and BadREAD MORE,1
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Everything seems to be OK except that I get a peculiar smell in the room when I use the AC and even for some time after use.READ MORE,4
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Very nice product and serviceREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Replace my AC is not working properly.READ MORE,2
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Go9d productREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,Cu pipe missing don't buyREAD MORE,1
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,"Awasom product,,, ac fan speed to much good,, cooing excilent,,, look not to much good just OK,,, features goodREAD MORE",5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,ExcellentREAD MORE,5
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)",NA,It's Magic of Cooling and Comfortable TempratureREAD MORE,5
